trade_date,series,open_price,high_price,low_price,prevclose_price,last_price,close_price,vwap,high_52w,low_52w,volume,turnover,number_trades,daily_return,price_change,intraday_volatility,month,year
2026-01-02,EQ,1049.40,1064.40,1047,1049.4,1061.1,1062.6,1057.6,1314.3,940.05,928577,982061017.40,36412,1.26,13.2,17.4,Jan,2026
2026-01-01,EQ,1048.20,1054.00,1040.1,1045.1,1047.7,1049.4,1048.4,1314.3,940.05,1219041,1278046851.20,34203,0.41,4.3,13.9,Jan,2026
2025-12-31,EQ,1048.70,1052.70,1035.2,1040.8,1045.1,1045.1,1045.99,1314.3,940.05,1426506,1492117477.00,37118,0.41,4.3,17.5,Dec,2025
2025-12-30,EQ,1069.00,1069.00,1032,1064.1,1046.6,1040.8,1040.64,1314.3,940.05,11581446,12052111156.20,148010,-2.19,-23.3,37,Dec,2025
2025-12-29,EQ,1074.30,1077.50,1059.8,1074.3,1062,1064.1,1069.24,1314.3,940.05,1406148,1503514231.50,42327,-0.95,-10.2,17.7,Dec,2025
2025-12-26,EQ,1081.50,1083.30,1068.4,1081.4,1073,1074.3,1073.26,1314.3,940.05,1266460,1359247037.40,33733,-0.66,-7.1,14.9,Dec,2025
2025-12-24,EQ,1074.00,1090.00,1070.2,1075.2,1080.1,1081.4,1083.76,1314.3,940.05,1033268,1119816956.40,48812,0.58,6.2,19.8,Dec,2025
2025-12-23,EQ,1081.80,1081.80,1065.2,1077.6,1075,1075.2,1074.65,1314.3,940.05,1304615,1402005504.70,40785,-0.22,-2.4,16.6,Dec,2025
2025-12-22,EQ,1079.20,1085.30,1072.4,1075.8,1075.1,1077.6,1079.02,1314.3,940.05,2093527,2258949520.10,93504,0.17,1.8,12.9,Dec,2025
2025-12-19,EQ,1066.50,1081.00,1061.1,1048.5,1076,1075.8,1072.23,1314.3,940.05,3285719,3523036832.80,78204,2.6,27.3,19.9,Dec,2025
2025-12-18,EQ,1030.00,1060.90,1026,1031.1,1048,1048.5,1044.37,1314.3,940.05,5152758,5381403108.10,91277,1.69,17.4,34.9,Dec,2025
2025-12-17,EQ,1070.10,1073.60,1024.9,1073,1033.2,1031.1,1037.59,1314.3,940.05,4268035,4428480578.60,93939,-3.9,-41.9,48.7,Dec,2025
2025-12-16,EQ,1089.00,1091.30,1068.3,1085.4,1070,1073,1078.78,1314.3,940.05,1444588,1558394981.60,64942,-1.14,-12.4,23,Dec,2025
2025-12-15,EQ,1081.30,1090.60,1064.5,1081.3,1083.5,1085.4,1077.85,1314.3,940.05,1632124,1759192434.80,56265,0.38,4.1,26.1,Dec,2025
2025-12-12,EQ,1082.80,1092.30,1077,1087.9,1080,1081.3,1081.45,1314.3,940.05,2245724,2428644377.20,66368,-0.61,-6.6,15.3,Dec,2025
2025-12-11,EQ,1077.00,1091.00,1074.2,1077.1,1089.1,1087.9,1083.84,1314.3,940.05,1209344,1310730829.50,38104,1,10.8,16.8,Dec,2025
